lyrics_filename,mood,lyrics,mood_cats
In_Flames___Ordinary_Story,happy,"""Ordinary Story Lyrics[Verse 1]\nEgoism dictates human relations\nA world where fashion outshines morality\nHere success is written in blood-red colors\nDesigned by the thirst for power\n\n[Pre-Chorus]\nGather the faithful and propose a toast\nTo the epoch of indifference\nGather the faithful\nGather the faithful and propose a toast\nTo the epoch of indifference\n[Chorus]\nAn all too ordinary story\nWith an aftertaste so bitter, so bitter\nForced to be someone I don't want to be\nI'm losing myself, sinking deeper down\nI'm caught in the world wound web\n\n[Verse 2]\nA time represented by the void\nAn excuse without content\nStuck in the abyss of existence\nWith a content void of excuse\n\n[Pre-Chorus]\nGather the faithful and propose a toast\nTo the epoch of indifference\nGather the faithful\nGather the faithful and propose a toast\nTo the epoch of indifference\n\n[Solo]\n\n[Bridge]\nAn all too ordinary story\nThis is my story\nWith an aftertaste so bitter, so bitter\nYou might also likeLosing myself\nSinking deeper down\n\nI'm caught - I'm caged\nI'm gone\n\n[Chorus]\nAn all too ordinary story\nWith an aftertaste so bitter, so bitter\nForced to be someone I don't want to be\nI'm losing myself, sinking deeper down\nI'm caught in the world wound web1Embed"", 'default'",0
Johnny_Darrell___Ruby__Dont_Take_Your_Love_To_Town,sad,"""Ruby Don’t Take Your Love To Town LyricsYou have painted up your lips and rolled and curled your tinted hair\nRuby are you contemplating going out somewhere\nThe shadows on the wall tell me the sun is going down\nOh Ruby don't take your love to town\nFor it wasn't me that started that old crazy Asian war\nBut I was proud to go and do my patriotic chores\nAnd I know Ruby that I'm not the man I used to be\nBut Ruby I still need your company\n[ ac.guitar ]\nIt's hard to love a man whose legs are bent and paralized\nAnd the wants and the needs of a woman your age Ruby I realize\nBut it won't be long I've heard them say until I'm not around\nOh Ruby don't take your love to town\nShe's leaving now for I just heard the slamming of the door\nThe way I know I heard it slam one hundred times before\nAnd if I could move I'd get my gun and put her in the ground\nOh Ruby don't take your love to town\nFor God's sake turn around don't take your love to townYou might also likeEmbed"", 'default'",1
Bobby_Rydell___Kissin_Time,happy,"""Kissin’ Time LyricsThey're kissin' in Cleveland, Kansas City, too\nThey're wailin' in Wildwood, back at Waterloo\nThey're smoochin' all over, even in St. Loo\nSo uh-baby get ready, I'm a-kissin' you\n\nOh, baby 'cause summertime is kissin' time USA\nSo treat me right, a-don't-a make-a me fight\nThe Battle of New Orleans tonight\n\nThey're kissin' on beaches, sea to shining sea\nSmoochin' on benches, near the Christmas tree\nLipstick on collars down in Tennessee\nSo a-baby, come on now, start by kissin' me\nOh, oh 'cause summertime is kissin' time USA\nSo press your tasty lips to mine\nSweeter than wine and feels so fine, wa-hoo!!\n\nMmm, 'cause summertime is kissin' time USA\nSo treat me right, a-don't-a make-a me fight\nThe Battle of New Orleans tonight\n\nThey're kissin' in drive-ins, you too, Baltimore\nRockin' at dances, land and sea and shore\nThen it's off to Dee-troit, they all know the score\nSo, a-baby, oh baby, what are we waitin' for?\n\nOh, 'cause summertime is kissin' time USA\n\nSo press your tasty lips to mine\nSweeter than wineYou might also likeEmbed"", 'default'",0
Franco_Battiato___Ruby_Tuesday,sad,"""Ruby Tuesday LyricsShe would never say where she came from\nYesterday don't matter if it's gone\nWhile the sun is bright\nOr in the darkest night\nNo one knows\nShe comes and goes\n\nGoodbye, Ruby Tuesday\nWho could hang a name on you?\nWhen you change with every new day\nStill I'm gonna miss you\nDon't question why she needs to be so free\nShe'll tell you it's the only way to be\nShe just can't be chained\nTo a life where nothing's gained\nAnd nothing's lost\nAt such a cost\n\nGoodbye, Ruby Tuesday\nWho could hang a name on you?\nWhen you change with every new day\nStill I'm gonna miss you\n\nThere's no time to lose, I heard her say\nCash your dreams before they slip away\nDying all the time\nLose your dreams and you\nWill lose your mind\nAin't life unkind\n\nGoodbye, Ruby Tuesday\nWho could hang a name on you?\nWhen you change with every new day\nStill I'm gonna miss youYou might also likeEmbed"", 'default'",1
Ayria___Cutting,sad,"""Cutting LyricsTell me how to feel\nShow me what is real\nI tried to back away but everwhere's the same\nAnd in this over-conscious world all I want to do is dream\n\nI don't know what you held on to\nTo get this far but I need some too\n\nBecause I'm slipping from existence\nAnd there's just no resistence\nTo stop this all from happening\nToday the pain\nIt got so bad I had to scream\n\nI'm cutting myself\nBecause I cannot face\nThe world around me\nIs nothing\nI'm cutting up myself\nBecause there's no way out\nDispersing what I feel\nSo I feel nothing\n\nI don't know what to do\nTo be as numb as you\nI must be doing something wrong to always feel this down\nWith an overwhelming urge to shout at those around\n\nI tried to reach out to the past\nBut the lesson learned is to not look back\nThe memories will just confuse\nAn overwhelmed and frightened youth\n\nI've learned to accept it\nI know that that's pathetic\nI can't explain to others\nI know that they'll reject it\nYou might also likeToday the pain\nIt got so bad I had to scream\n\nI'm cutting myself\nBecause I cannot face\nThe world around me\nIs nothing\nI'm cutting up myself\nBecause there's no way out\nDispersing what I feel\nSo I feel nothing\n\nToday the pain\nIt got so bad I had to scream\nToday the pain\nIt felt so bad I had to scream\nI had to scream\nI had to scream\nI had to screamEmbed"", 'default'",1
Gentle_Giant___Mister_Class_And_Quality,happy,"""Mister Class and Quality? LyricsLook around my rooms\nAnd see the prizes I have showing\nWorking hard to build my life\nAnd plan the way I'm going\n\nHouse and car and pretty wife\nThey've all been won by knowing\nAll been won by knowing\nAll been won by knowing\nPaperwork, white collared shirts\nWhere would we be without them\nMan of class and quality\nI never shout about them\nChoose my friends for my own ends\nYou can't succeed without them\nCan't succeed without them\nCan't succeed without them\n\nMiddleman sees straight ahead\nAnd never crosses borders\nNever understood the artist\nOr the lazy workers\n\nThe world needs steady men like me\nTo give and take the orders\nGive and take the orders\nGive and take the ordersYou might also likeEmbed"", 'default'",0
Damon_And_Naomi___Song_to_the_Siren,sad,"'Song To The Siren LyricsLong afloat on shipless oceans\nI did all my best to smile\n‘Til your singing eyes and fingers\nDrew me loving to your isle\nAnd you sang\nSail to me\nSail to me\nLet me enfold you\nHere I am\nHere I am\nWaiting to hold you\nDid I dream you dreamed about me?\nWere you hare when I was fox?\nNow my foolish boat is leaning\nBroken lovelorn on your rocks\nFor you sing\nTouch me not\nTouch me not\nCome back tomorrow\nOh, my heart\nOh, my heart\nIt shies from the sorrow\nI’m as puzzled as the oyster\nI’m troubled as the tide\nShould I stand amid the breakers?\nShould I lie with death my bride?\nHear me sing\nSwim to me\nSwim to me\nLet me enfold you\nOh, my heart\nOh, my heart\nWaiting to hold--\nOh, my heart\nOh, my heart\nWaiting to hold youYou might also likeEmbed', 'default'",1
Gavin_DeGraw___More_Than_Anyone,anger,"""More Than Anyone Lyrics[Verse 1]\nYou need a friend, I'll be around\nDon't let this end before I see you again\nWhat can I say to convince you to change your mind\nFor me?\n\n[Chorus]\nI'm gonna love you more than anyone\nI'm gonna hold you closer than before\nAnd when I kiss your soul, your body be free\nI'll be free for you anytime\nI'm gonna love you more than anyone\n[Verse 2]\nLook in my eyes, what do you see?\nNot just the color, look inside of me\nTell me all you need and I will try\nI will try\n\n[Chorus]\nI'm gonna love you more than anyone\nI'm gonna hold you closer than before\nAnd when I kiss your soul, your body be free\nI'll be free for you anytime\nI'm gonna love you more than anyone\n\n[Bridge]\nFree for you, whenever you need\nWe'll be free together, baby\nFree together, baby\n\n[Chorus]\nI'm gonna love you more than anyone\nI'm gonna hold you closer than before\nAnd when I kiss your soul, your body be free\nI'll be free for you anytime\nI'm gonna love you more than anyone\nI'm gonna love you more than anyoneYou might also like3Embed"", 'default'",3
Depeche_Mode___Sometimes,calm,"""Sometimes Lyrics[Intro]\nSometimes\n\n[Verse]\nSometimes, only sometimes\nI question everything\nAnd I'm the first to admit\nIf you catch me in a mood like this\nI can be tiring, even embarrassing\nBut you must feel the same\nWhen you look around\nYou can't tell me honestly\nYou're happy with what you see\nOh sometimes, only sometimes\nYou must be\nYou must be\nAs embarrassing as me\nOoh, sometimesYou might also like1Embed"", 'default'",2
Evanescence___Lithium,sad,"""Lithium Lyrics[Chorus]\nLithium\nDon't wanna lock me up inside\nLithium\nDon't wanna forget how it feels without\nLithium\nI wanna stay in love with my sorrow, oh\n\n[Post-Chorus]\nBut God, I wanna let it go\n[Verse 1]\nCome to bed, don't make me sleep alone\nCouldn't hide the emptiness, you let it show\nNever wanted it to be so cold\nJust didn't drink enough to say you love me\n\n[Pre-Chorus]\nI can't hold on to me\nWonder what's wrong with me\n\n[Chorus]\nLithium\nDon't wanna lock me up inside\nLithium\nDon't wanna forget how it feels without\nLithium\nI wanna stay in love with my sorrow, ah\n\n[Bridge]\nDon't wanna let it lay me down this time\nDrown my will to fly\nHere in the darkness I know myself\nCan't break free until I let it go, let me go\n\n[Verse 2]\nDarling, I forgive you after all\nAnything is better than to be alone\nAnd in the end I guess I had to fall\nAlways find my place among the ashes\nYou might also like[Pre-Chorus]\nI can't hold on to me\nWonder what's wrong with me\n\n[Chorus]\nLithium\nDon't wanna lock me up inside\nLithium\nDon't wanna forget how it feels without\nLithium\nStay in love with you, ah\n\n[Post-Chorus]\nI'm gonna let it go29Embed"", 'default'",1
Annie_Lennox___The_Hurting_Time,sad,"""The Hurting Time LyricsTo everything there is a purpose ...\nTo every blade of grass\nAnd every leaf on every tree\nEvery livin' thing will surely\nCome to pass\nAnd what will be will be ...\nThat's when the hurtin' time begins\n\nAnd all the things you never said\nOr didn't have the strengh to say\nAnd everything you ever did\nThat time won't ever wash away\nFears that you've been livin' with\nCome runnin' down your face\nRunnin' down your face\nWhen the hurtin' time begins ...\nSo tell me what the day brings\nHas it lost it's thrill?\nAre you still searching\nHoping for that\nSpace to fill ...\nEverything you turn to\nIs like a mirror on the shelf\nAnd the only one you're blaming\nIs yourself\n\nA million little deaths you've died\nThe times that you've been crucified\nThe more you've loved and lost and tried\nAnd still could not be satisfied\nWhen will you be satisfied?\nWhen will you be satisfied?\nNot till the hurtin' time beginsYou might also likeEmbed"", 'default'",1
Amy_Diamond___Whats_In_It_For_Me,happy,"""What’s In It For Me Lyrics[Verse 1]\nIt's so confusing\nYou sure been messing with my mind\nAye aye aye aye aye\nYou cut me loose\nAnd suddenly we're doing fine\nI'm not a perfect little girl\nBut I should get what I deserve\nAnd I refuse to be your mother\nSo, tell me\n[Chorus]\nWhat's in it for me?\nI really gotta know\nWhat's in it for me?\nThis ain't no one-man show\nTo in my life\nYou come and you go\nAin't happy about it\nSo I gotta know\nWhat's in it?\nWhat's in it for me?\nWhat's in it?\nWhat's in it?\nYeah\nWhat's in it?\nWhat's in it?\n\n[Verse 2]\nPlease understand me\nYour games ain't working anymore\nAin't working anymore\nYou can't have this candy\nAnd keep one foot outside the door, no\nAnd how you only come around\nWhen your life is upside down\nAnd I'm about to blow your cover\nSo, tell me\nYou might also like[Chorus]\nWhat's in it for me?\nI really gotta know\nWhat's in it for me?\nThis ain't no one-man show\nTo in my life\nYou come and you go\nAin't happy about it\nSo I gotta know\nWhat's in it, what's in it for me?\nWhat's in it?\nWhat's in it?\nWhat's in it?\nWhat's in it?\n\n[Bridge]\nI got no time for a hit and run\nI need more than a little fun\n'Cause I only play for keeps\nI gotta know\nWhat's it all about?\nGo ahead\nSpit it out\nSay what's in it for me?\nWhat's in it for me?\n[Breakdown]\nYeah\nOh, I really gotta know\nYeah, this ain't a one-man show\nTo in my life\nYou come and you go\nAin't happy about it\nSo I gotta know\n\n[Chorus]\nWhat's in it for me?\nI really gotta know\nWhat's in it for me?\nThis ain't no one-man show\nTo in my life\nYou come and you go\nAin't happy about it\nSo I gotta know\nWhat's in it?\nWhat's in it for me?\n\n[Outro]\nWhat's in it?\nWhat's in it for me?Embed"", 'default'",0
Dolores_ORiordan___Loser,happy,"""Loser Lyrics[Verse 1]\nI'm sick and tired of people like you\nYou think you're clever but you haven't a clue\nwhat can you do?\nA two-watt light bulb is brighter than you\nI'm sick and tired of people like you\n\n[Chorus]\nYeah, yeah\nYou want it, you got it\nCome take it, it's over here\nYou want it, you got it\nCome take it, is that not clear?\nYou want it, you got it\nCome take it, I'll do it for\nYou want it, you got it\nCome take it, just cross the line\n[Verse 2]\nThe moral of the adventure is this\nTake me for granted you are taking the piss\nWho love is this?\nI'd rather wind up with nothing at all\nThan take a loser like you through it all\n\n[Chorus]\nYeah, yeah\nYou want it, you got it\nCome take it, it's over here\nYou want it, you got it\nCome take it, is that not clear?\nYou want it, you got it\nCome take it, I'll do it for\nYou want it, you got it\nCome take it, just cross the line\n\n[Bridge]\nCross the line\nCross the line\nYa-ah ya-ah\n\n[Chorus]\nYeah, yeah\nYou want it, you got it\nCome take it, it's over here\nYou want it, you got it\nCome take it, is that not clear?\nYou want it, you got it\nCome take it, I'll do it for you\nYou want it, you got it\nCome take it, just cross the line\nYou might also like[Outro]\nWhy loser, die You want it, you got it\nWhy loser, why? You want it, you got it\nWhy loser, die You want it, you got it\nWhy? You want it, you got itEmbed"", 'default'",0
Creedence_Clearwater_Revival___Bad_Moon_Rising,happy,"""Bad Moon Rising Lyrics[Verse 1]\nI see the bad moon arising\nI see trouble on the way\nI see earthquakes and lightnin'\nI see bad times today\n\n[Chorus]\nDon't go around tonight\nWell, it's bound to take your life\nThere's a bad moon on the rise\n[Verse 2]\nI hear hurricanes a blowing\nI know the end is coming soon\nI fear rivers overflowing\nI hear the voice of rage and ruin\n\n[Chorus]\nDon't go around tonight\nWell, it's bound to take your life\nThere's a bad moon on the rise\n\n[Guitar Solo]\n\n[Verse 3]\nHope you got your things together\nHope you are quite prepared to die\nLooks like we're in for nasty weather\nOne eye is taken for an eye\n\n[Chorus]\nWell don't go around tonight\nWell it's bound to take your life\nThere's a bad moon on the rise\n\n[Chorus]\nDon't go around tonight\nWell, it's bound to take your life\nThere's a bad moon on the riseYou might also like23Embed"", 'default'",0
Icon_Of_Coil___Floorkiller_2004_Version,anger,"""Floorkiller 2004 Version LyricsSomeone pretends to hold it back\nEven they don't know that they gave their best\nWhen they gave up other believes\nWhen they're on the top even though they got\nMore then much to give\nBit by snakes\nBut I won't give it up\n\nCome down\nConfront all my visions\nCome down...\nStill I'm hunting the demons\n\nI used to love to see the reflections of my shadows\nNow it seems like a threat\nWe need less as we swallow each other\nStill I'm hunting the demons\n\nCome down\nConfront all my visions\nCome down...\n\nCan't wait for the signs to stop flashing in my head\nCan't wait for the sounds to hold me back\nNow it felt through that time\nI can't explain\nBut I hope you try to see\nSeduce me\nHold and caress me\n\nCome down\nConfront all my visions\nCome down...You might also likeEmbed"", 'default'",3
Jennifer_Hudson___Spotlight,calm,"""Spotlight Lyrics[Verse 1]\nAre you a man who loves and cherishes and cares for me?\nIs that you? Is that you? Is that you?\nAre you a guard in a prison, maximum security?\nIs that you? Is that you? Is that you?\nDo we stay home all the time because you want me to yourself?\nIs that you? Is that you? Is that you?\nOr am I locked away, out of fear that I'll find someone else?\nIs that you? Is that you? Yeah\n\n[Chorus]\nWell, I don't like\nLiving under your spotlight\nJust because you think I might\nFind somebody worthy Worthy\nNo, I don't like\nLiving under your spotlight\nMaybe if you treat me right\nYou won't have to worry\n[Verse 2]\nIs this a relationship fulfilling your needs as well as mine?\nIs that you? Is that you? Is that you?\nOr is this just my sentence? Am I doing time?\nIs that you? Is that you? Is that you?\nOh, if this love, real real love, then I'm staying, no doubt\nIs that you? Is that you? Is that you?\nBut if I'm just love's prisoner, then I'm bustin' out\nIs that you? Is that you? Yeah\n\n[Chorus]\nOh, baby, I don't like\nLiving under your spotlight Spotlight\nJust because you think I might Just because you think I might\nFind somebody worthy Find somebody worthy\nNo, I don't like I don't like\nLiving under your spotlight Living under your, under your\nMaybe if you treat me right Treat me right\nYou won't have to worry You won't have to worry, no, no\n\n[Bridge]\nOh, you oughta be\nAshamed of yourself\nWhat the hell do you think you're doing\nLovin' me, lovin' me?\nSo wrong\nBaby, all I do is try Try\nTo show you that you're my My\nOne and only guy My guy\nNo matter who may come along\nOpen your eyes, 'cause baby, I don't like\nYou might also like[Chorus]\nHey, 'cause I don't like\nLiving under your spotlight Oh no\nJust because you think I might\nFind somebody worthy Find somebody worthy\nNo, I don't like\nLiving under your spotlight Living under your spotlight\nMaybe if you treat me right Treat me right, yeah\nYou won't have to worry You don't ever have to worry\n\n[Outro]\nI don't like9Embed"", 'default'",2
Anathallo___Dont_Kid_Yourself__You_Need_A_Physician,happy,"'Don’t Kid Yourself, You Need a Physician LyricsFor days and weeks I made the parting call\nI cupped my hands, my mouth in ""O""\nI shouted saying\n""Brothers, hold my fading arms in the air, I am weak!""\nThey just faded there, my voice was gone\n\nWho will rescue me from this body\nNot the arms, the fingers still… yes\nThey feel what they touch as well\nCut the cords. Let the ancient Adam go\nI\'ve been dancing with this corpse for nineteen years\nAnd when I said, ""Who will shave my head, and on the might, reveal me in my skin?""\nAll the secrets of fitness: all the fitness He requires is to feel your need for Him\nAnd in my room, in my room, in this gospel I have made\nSalvation is a broken cistern in a handmade frame\nI cut the sheets into a flag, paint it red, self-pity hangs over the doorway in\n\nFrom seven times seventy scraping knees, blood lets, deficiencies\nThese are the layers of bandages, protection from the sting\nIn this great lacking, I\'ve found a way\nAnd when I said, ""Who will shave my head, and on that might reveal me in my skin?""\nAll the secrets of fitness: all the fitness He requires is to feel your need for Him\n\nWho will rescue me from this body\nNot the arms, the fingers still… yes\nThey feel what they touch as well\nCut the cords. Let the ancient Adam go\nI\'ve been dancing with this corpse for nineteen yearsYou might also likeEmbed', 'default'",0
Ane_Brun___Temporary_Dive,sad,"""Temporary Dive LyricsI fell down in that hole again\nI am a lump of jelly\nI am a dead fish\n\nI look up at the blue sky\nAand I know that it's just\nA temporary dive\n\nSometimes we tip toe\nSometimes we run\nSometimes we wander while\nLooking at the sun\nSometimes we tip toe\nSometimes we run\nSometimes we wander while\nLooking at the sun\nSitting on the cold dirt floor\nI want to finish the counting of days on the walls\nI build a ladder from broken wishbones\nAnd square-shaped stones\nThat my friends threw down in the hole\n\nSometimes we tip toe\nSometimes we run\nSometimes we wander while\nLooking at the sun\nSometimes we tip toe\nSometimes we run\nSometimes we wander while\nLooking at the sun\n\nAnd even though I read maps to avoid them\nThey change location every day\nAnd somehow all of my traces they vanish\nBut shall one stay put\nShall one lay low\nShall one not go\nJust to avoid this hole\n\nSometimes we tip toe\nSometimes we run\nSometimes we wander while\nLooking at the sun\nSometimes we tip toe\nSometimes we run\nSometimes we wander while\nLooking at the sunYou might also likeEmbed"", 'default'",1
Gillian_Welch___Good_Til_Now,sad,"""Good Til Now LyricsBalled out wasted and I feel I'm going down\nBalled out wasted and I feel I'm going down\nGoodbye, darling, I been good till now\n\nI went walking with a girl as pure as milk\nI went walking with a girl pure as milk\nStanding on the corner, sweating through a yellow silk\n\nRocks in my pockets and a devil on my back\nRocks in my pockets and a devil on my back\nYou won't even come across the tracks\nBalled out wasted and I feel I'm going down\nBalled out wasted and I feel I'm going down\nGoodbye, darling, I been good till nowYou might also likeEmbed"", 'default'",1
Craig_Morgan___Little_Bit_of_Life,happy,"""Little Bit of Life Lyrics[Verse 1]\nA little bit of guitar\nA little bit of truck\nA little bit of hound dog\nAnd a little bit of luck\nA little bit of Bacon\nA little bit of beans\nA little bit of you lovin' up on me\nAnd a little bit of how it supposed to be\nA little bit of life\n[Verse 2]\nA little bit of backseat\nA little bit of moon\nA little bit of radio, a goin' boom boom boom\nA little bit of sugar\nA little bit of spice\nA little bit of nasty, A little bit of nice\nA little bit of how it supposed to be\nA little bit of life\n\n[Chorus]\nI breath in\nI breath out\nYes sleepin all night with the windows down\nUp in the mornin' stirin around\nDrink a pot of coffee and I head off to town\nWork Work, Work\nAll day long, crank it up, back it up, bring it on home\nSupper on the table and I eat me a bite\nThen we snuggle on the porch by the pale moon light\n\nA little bit of me and you doin alright\nA little bit of life\n\n[Verse 3]\nA little bit of tractor\nA little bit of farm\nA little bit of cornfield\nA little bit of barn\nA little bit of come on\nA little bit of play\nA little bit of yee haw in the hay\nA Dixie cup\nA homemade wine\nA little bit of life\nYou might also like[Chorus]\nI breath in\nI breath out\nYes sleepin all night with the windows down\nUp in the mornin' stirin around\nDrink a pot of coffee and I head off to town\nWork Work, Work\nAll day long, crank it up, back it up, bring it on home\nSupper on the table and I eat me a bite\nThen we snuggle on the porch by the pale moon light\n\n[Verse 4]\nA little bit of back porch\nA little bit of swing\nA little bit of wind chimes goin ding a ling\nA little bit of TV\nA little bit of couch\nPopcorn smellin up the house\nAlomode on a little slice of homemade pie\nA little bit of Life\n\n[Chorus]\nI breath in\nI breath out\nYes sleepin all night with the windows down\nUp in the mornin' stirin around\nDrink a pot of coffee and I head off to town\nWork Work, Work\nAll day long, crank it up, back it up, bring it on home\nSupper on the table and I eat me a bite\nThen we snuggle on the porch by the pale moon light\n[Outro]\nA little bit of me and you doin alright\nA little bit of me and you doin alright\nA little bit of life\nA little bit of lifeEmbed"", 'default'",0
Hot_Chip___Playboy,happy,"""Playboy LyricsApril, the cruellest month\nI reckon this March could be a contender\nThere's only so much sorrow a man can take\nI can't change my face, don't you remember\n\nYou know when I was on the road\nThat me and you was on the rocks, so low\nShould never have got talking all that jive\nNow there's only one way for me to stay alive\n\n[Chorus]\nDriving in my Peugeot hey-ay, yay-ay\n20-inch rims with the chrome now hey-ay, yay-ay\nBlazing out Yo La Tengo hey-ay, yay-ay\nDriving round Putney with the top down hey-ay, yay-ay\nDriving in my Peugeot hey-ay, yay-ay\n20-inch rims with the chrome now hey-ay, yay-ay\nBlazing out Yo La Tengo hey-ay, yay-ay\nDriving round Putney with the top down hey-ay, yay-ay\n\nSo long to contentedness\nI reckon next time I'll march in favour\nSo long I've felt a blessedness\nNo more is this a taste I want to savour\n\nI know how I dig you on\nYou can know only see, so far\nBut never was there more to say\nLess, to do, before, turn away\n\n[Chorus]\nDriving in my Peugeot hey-ay, yay-ay\n20-inch rims with the chrome now hey-ay, yay-ay\nBlazing out Yo La Tengo hey-ay, yay-ay\nDriving round Putney with the top down hey-ay, yay-ay\nDriving in my Peugeot hey-ay, yay-ay\n20-inch rims with the chrome now hey-ay, yay-ay\nBlazing out Yo La Tengo hey-ay, yay-ay\nDriving round Putney with the top down hey-ay, yay-ayYou might also likeEmbed"", 'default'",0
Brian_Mcfadden___Irish_Son,sad,"""Irish Son LyricsI was born in the heart of Dublin\nTo a holy book full of rules\nMade it go on our knees every Sunday with the other fools\n\nWe were walked by the Christian Brothers\nIn the cell blocks at our schools\nGet a handprint on your skin\nFrom a claw of jewels\n\nGo hit me now\nThat I'm twice your size\nWe brushed off the accusations\nAnd bowed before your lies\nThis is the city that raised me\nWith the religion they gave me\nNow I'm old enough to know my own mind\nBut it was leaving that saved me\nI've seen so much that has changed me\nSo just break with your past\nFeed your own mind\nCause this Irish son has moved with the times\n\nWeddings deaths,and baptising children\nThat's my debt paid to the church\nI don't need that kind of salvation\nWhen I get hurt\n\nDon't fill my head with sermons\nAnd force me to believe\n\nThis is the city that raised me\nWith the religion they gave me\nNow I'm old enough to know my own mind\nBut it was leaving that saved me\nI've seen so much that has changed me\nSo just break with your past\nFeed your own mind\nCause this Irish son has moved with the times\nYou might also likeOur father who art in heaven\nCome down here and make your presence known\nWe can't do it on our own\nThe lunatics have run the asylum\nHow can we find peace inside your home\nWhen you can't trust your own\n\nThis is the city that raised me\nWith the religion they gave me\nNow I'm old enough to know my own mind\nBut it was leaving that saved me\nI've seen so much that has changed me\nJust break with your past\nFeed your own mind\nCos' this Irish son has moved with the times\nYes this Irish son has moved with the timesEmbed"", 'default'",1
Elbow___Station_Approach,sad,"""Station Approach LyricsI haven't been myself of late\nI haven't slept for several days\nBut coming home I feel like I\nDesigned these buildings I walk by\n\nYou know you drive me up the wall\nI need to see your face that's all\nYou little sod, I love your eyes\nBe everything to me tonight\nBe everything to me tonight\nI never know what I want but I know when I'm low that I\nI need to be in the town where they know what I'm like and don't mind\nI never know what I want but I know when I'm low that I\nI need to be in the town where they know what I'm like and don't mind\n\nI never know what I want but I know when I'm low that I\nI need to be in the town where they know what I'm like and don't mind\nI never know what I want but I know when I'm low that I\nI need to be in the town where they know what I'm like and don't mind\n\nI never know what I want but I know when I'm low that I\nI need to be in the town where they know what I'm like and don't mind\nI never know what I want but I know when I'm low that I\nI need to be in the town where they know what I'm like and don't mind\nThe streets are full of goths and Greeks\nI haven't seen my mum for weeks\nBut coming home I feel like I\nDesigned the buildings I walk by\n\nYou know you drive me up the wall\nI need to see your face is all\nYou little sod, I love your eyes\nBe everything to me tonight\nBe everything to me tonightYou might also likeEmbed"", 'default'",1
Jordan_Rudess___Dance_on_a_Volcano,sad,"""Dance on a Volcano LyricsHoly mother of God\nYou've got to go faster than that to get to the top\nDirty old mountain all covered in smoke\nShe can turn you to stone so you better start doing it right\nBetter start doing it right\n\nYou're halfway up and you're halfway down\nAnd the pack on your back is turning you around\nThrow it away, you won't need it up there\nAnd remember, you don't look back whatever you do\nBetter start doing it right\nOn your left and on your right\nCrosses are green and crosses are blue\nYour friends didn't make it through\nOut of the night and out of the dark\nInto the fire and into the fight\nWell, that's the way the heroes go\nHO! HO! HO!\n\nThrough a crack in Mother Earth\nBlazing hot, the molten rock\nSpills out over the land\nAnd the lava's the lover who licks your boots away\nHEY! HEY! HEY!\nIf you don't want to boil as well\nB-B-Better start the dance\nD-D-Do you want to dance with me\n\nYou better start doing it right\n\nThe music's playing, the notes are right\nPut your left foot first and move into the light\nThe edge of this hill is the edge of the world\nAnd if you're going to cross you better start doing it right\nBetter start doing it right\nYou better start doing it right\nYou might also likeLet the dance begin!Embed"", 'default'",1
Edison_Lighthouse___Love_Grows_Where_My_Rosemary_Goes,happy,"""Love Grows Where My Rosemary Goes Lyrics[Verse 1]\nShe ain't got no money\nHer clothes are kinda funny\nHer hair is kinda wild and free\nOh, but love grows\nWhere my Rosemary goes\nAnd nobody knows like me\n\n[Verse 2]\nShe talks kinda lazy\nAnd people say she's crazy\nAnd her life's a mystery\nOh, but love grows\nWhere my Rosemary goes\nAnd nobody knows like me\n[Chorus]\nThere's something about\nHer hand holding mine\nIt's a feeling that's fine\nAnd I just gotta say, hey!\nShe's really got a magical spell\nAnd it's working so well\nThat I can't get away\n\n[Verse 3]\nI'm a lucky fella\nAnd I just got to tell her\nThat I love her endlessly\nBecause love grows\nWhere my Rosemary goes\nAnd nobody knows like me\n\n[Chorus]\nThere's something about\nHer hand holding mine\nIt's a feeling that's fine\nAnd I just gotta say, hey!\nShe's really got a magical spell\nAnd it's working so well\nThat I can't get away\nYou might also like[Verse 4]\nI'm a lucky fella\nAnd I just got to tell her\nThat I love her endlessly\nBecause love grows\nWhere my Rosemary goes\nAnd nobody knows like me\n\n[Outro]\nIt keeps growing every place she's been\nAnd nobody knows like me\nIf you've met her, you'll never forget her\nNobody knows like me\nLa-la, believe it when you've seen it\nNobody knows like me No...3Embed"", 'default'",0
Hot_Chip___Whistle_For_Will,sad,"""Whistle for Will Lyrics[Verse 1]\nWhistle for Will, dear\nNelson and Blake knew\nHim and Taylor, dear to me\nWhat's in a name I hold\nClose since the willow fall?\nAll with a Will I'm told is me\n\n[Verse 2]\nWhistle for Will, dear\nAll the men Blake knew\nHim and Taylor, dear to meYou might also likeEmbed"", 'default'",1
